application_id,asset_type,collateral_value,collateral_status,verification_stage,confidence,legitimacy_score,include_in_credit,notes,last_updated,workflow_trace,loan_amount_declared,borrower_segment
APP-1028,Vehicle,154906.81,validated,completed,0.91,0.92,True,,2025-10-28T14:39:47.242644,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 146316.40288623513}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 146316.40288623513}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 151865.748646448}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 151865.748646448}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 154906.81429004893}]",146470.0,Retail
APP-1029,Commercial Property,521652.08,denied_fraud,kyc_screening,0.44,0.36,False,KYC screening flagged suspected fraud.,2025-10-28T14:39:47.242669,"[{""stage"": ""kyc_screening"", ""decision"": ""fail"", ""note"": ""Identity or sanction list hit."", ""collateral_value"": 521652.07858717686}]",325552.0,Corporate
APP-1030,Townhouse,226455.09,under_verification,document_validation,0.6,0.66,False,Documents inconsistent with registry data.,2025-10-28T14:39:47.242709,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 226455.08895306493}, {""stage"": ""document_validation"", ""decision"": ""fail"", ""note"": ""Documents inconsistent with registry data."", ""collateral_value"": 226455.08895306493}]",189730.0,Retail
APP-1031,Agricultural Land,163744.33,validated,completed,0.8,0.88,True,,2025-10-28T14:39:47.242724,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 164290.6808607812}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 164290.6808607812}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 160413.15631125667}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 160413.15631125667}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 163744.3316548971}]",134448.0,Corporate
APP-1032,None,0.0,missing,no_collateral,0.78,0.95,False,No collateral declared by borrower.,2025-10-28T14:39:47.242735,[],41217.0,Retail
APP-1033,Commercial Property,84379.05,re_evaluate,field_inspection,0.75,0.65,False,Physical inspection found discrepancies.,2025-10-28T14:39:47.242761,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 88729.74024506604}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 88729.74024506604}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 84379.05222626233}, {""stage"": ""field_inspection"", ""decision"": ""fail"", ""note"": ""Physical inspection found discrepancies."", ""collateral_value"": 77694.25667878836}]",85097.0,SME
APP-1034,Condominium,182659.83,validated,completed,0.82,0.85,True,,2025-10-28T14:39:47.242796,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 171545.62906483194}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 171545.62906483194}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 178389.98211198903}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 178389.98211198903}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 182659.8316384284}]",118540.0,Corporate
APP-1035,Condominium,188019.8,validated,completed,0.93,0.97,True,,2025-10-28T14:39:47.242810,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 189337.45967199106}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 189337.45967199106}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 182796.86033475606}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 182796.86033475606}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 188019.79839629104}]",129760.0,SME
APP-1036,Townhouse,152779.77,validated,completed,0.8,0.97,True,,2025-10-28T14:39:47.242848,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 144914.31698119137}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 144914.31698119137}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 150190.12598213385}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 150190.12598213385}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 152779.77480600047}]",103793.0,SME
APP-1037,Vehicle,160166.93,pending_asset_review,credit_committee,0.64,0.71,False,Committee requested manual review.,2025-10-28T14:39:47.242888,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 155572.17621391674}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 155572.17621391674}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 160166.93041773635}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 160166.93041773635}, {""stage"": ""credit_committee"", ""decision"": ""fail"", ""note"": ""Committee requested manual review."", ""collateral_value"": 157217.90282732484}]",147231.0,Retail
APP-1038,Townhouse,34342.21,validated,completed,0.81,0.98,True,,2025-10-28T14:39:47.242903,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 33279.02034517942}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 33279.02034517942}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 33399.542754976916}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 33399.542754976916}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 34342.21267416517}]",36869.0,Retail
APP-1039,None,0.0,missing,no_collateral,0.8,0.88,False,No collateral declared by borrower.,2025-10-28T14:39:47.242911,[],91986.0,SME
APP-1040,Vehicle,232164.25,validated,completed,0.96,0.9,True,,2025-10-28T14:39:47.242934,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 237500.5808525558}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 237500.5808525558}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 239319.55133423614}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 239319.55133423614}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 232164.25015087688}]",201991.0,SME
APP-1041,None,0.0,missing,no_collateral,0.92,0.93,False,No collateral declared by borrower.,2025-10-28T14:39:47.242949,[],255766.0,Corporate
APP-1042,None,0.0,missing,no_collateral,0.79,0.93,False,No collateral declared by borrower.,2025-10-28T14:39:47.242959,[],349829.0,SME
APP-1043,Vehicle,405259.62,validated,completed,0.8,0.88,True,,2025-10-28T14:39:47.242973,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 418267.0510977514}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 418267.0510977514}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 410290.05690404156}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 410290.05690404156}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 405259.61858902115}]",279157.0,SME
APP-1044,None,0.0,missing,no_collateral,0.91,0.97,False,No collateral declared by borrower.,2025-10-28T14:39:47.242981,[],51878.0,SME
APP-1045,Condominium,467294.51,under_verification,document_validation,0.63,0.63,False,Documents inconsistent with registry data.,2025-10-28T14:39:47.242993,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 467294.5089104933}, {""stage"": ""document_validation"", ""decision"": ""fail"", ""note"": ""Documents inconsistent with registry data."", ""collateral_value"": 467294.5089104933}]",322131.0,SME
APP-1046,Condominium,366514.2,validated,completed,0.8,0.9,True,,2025-10-28T14:39:47.243044,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 374930.17081376084}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 374930.17081376084}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 373924.84002404235}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 373924.84002404235}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 366514.2045139299}]",231259.0,SME
APP-1047,Commercial Property,270665.5,pending_asset_review,credit_committee,0.67,0.71,False,Committee requested manual review.,2025-10-28T14:39:47.243061,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 278329.569434809}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 278329.569434809}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 270665.5049475259}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 270665.5049475259}, {""stage"": ""credit_committee"", ""decision"": ""fail"", ""note"": ""Committee requested manual review."", ""collateral_value"": 266521.7656486363}]",265790.0,SME
APP-1048,Commercial Property,98664.91,validated,completed,0.92,0.95,True,,2025-10-28T14:39:47.243074,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 101738.7290473279}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 101738.7290473279}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 101681.52307947529}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 101681.52307947529}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 98664.90572029944}]",86671.0,SME
APP-1049,Vehicle,288644.83,validated,completed,0.93,0.93,True,,2025-10-28T14:39:47.243087,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 303030.5882281928}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 303030.5882281928}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 289400.82949568704}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 289400.82949568704}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 288644.8304662674}]",269829.0,Corporate
APP-1050,Heavy Equipment,208080.08,validated,completed,0.95,0.94,True,,2025-10-28T14:39:47.243117,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 203032.15307069675}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 203032.15307069675}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 207484.11951771678}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 207484.11951771678}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 208080.0796890418}]",177609.0,Corporate
APP-1051,Agricultural Land,151035.97,validated,completed,0.83,0.85,True,,2025-10-28T14:39:47.243148,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 154635.1071114297}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 154635.1071114297}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 154964.47699524055}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 154964.47699524055}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 151035.9727298325}]",119858.0,Retail
APP-1052,Heavy Equipment,196753.35,re_evaluate,field_inspection,0.68,0.63,False,Physical inspection found discrepancies.,2025-10-28T14:39:47.243163,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 192774.11893509448}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 192774.11893509448}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 196753.34575224505}, {""stage"": ""field_inspection"", ""decision"": ""fail"", ""note"": ""Physical inspection found discrepancies."", ""collateral_value"": 157776.4769536733}]",136445.0,SME
APP-1053,None,0.0,missing,no_collateral,0.86,0.97,False,No collateral declared by borrower.,2025-10-28T14:39:47.243171,[],214011.0,SME
APP-1054,Townhouse,161849.72,validated,completed,0.96,0.88,True,,2025-10-28T14:39:47.243185,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 166726.70550990166}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 166726.70550990166}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 158488.6736935436}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 158488.6736935436}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 161849.7235078675}]",100832.0,Corporate
APP-1055,Commercial Property,229392.19,re_evaluate,field_inspection,0.71,0.63,False,Physical inspection found discrepancies.,2025-10-28T14:39:47.243199,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 230873.56833656153}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 230873.56833656153}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 229392.19061966697}, {""stage"": ""field_inspection"", ""decision"": ""fail"", ""note"": ""Physical inspection found discrepancies."", ""collateral_value"": 179850.90652400712}]",163811.0,Retail
APP-1056,Townhouse,249859.44,pending_asset_review,credit_committee,0.61,0.64,False,Documents valid but require periodic refresh.; Committee requested manual review.,2025-10-28T14:39:47.243352,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 252535.8076969145}, {""stage"": ""document_validation"", ""decision"": ""monitor"", ""note"": ""Documents valid but require periodic refresh."", ""collateral_value"": 252535.8076969145}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 249859.43968043805}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 249859.43968043805}, {""stage"": ""credit_committee"", ""decision"": ""fail"", ""note"": ""Committee requested manual review."", ""collateral_value"": 251999.4805044096}]",241367.0,SME
APP-1057,Heavy Equipment,290272.27,validated,completed,0.8,0.8,True,,2025-10-28T14:39:47.243406,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 298257.0347690896}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 298257.0347690896}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 294651.8891163737}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 294651.8891163737}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 290272.2694474801}]",210299.0,SME
APP-1058,None,0.0,missing,no_collateral,0.97,0.87,False,No collateral declared by borrower.,2025-10-28T14:39:47.243416,[],245919.0,Corporate
APP-1059,Vehicle,145461.28,re_evaluate,field_inspection,0.6,0.68,False,Physical inspection found discrepancies.,2025-10-28T14:39:47.243433,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 149969.96706480917}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 149969.96706480917}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 145461.2802083614}, {""stage"": ""field_inspection"", ""decision"": ""fail"", ""note"": ""Physical inspection found discrepancies."", ""collateral_value"": 107364.32892060517}]",100873.0,SME
